City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,77.23,broken clouds,14.8961,-24.4956,Hotel Xaguate
1,Atuona,PF,76.95,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
2,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
4,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
6,Atar,MR,89.47,overcast clouds,20.5169,-13.0499,Oumou Elghoura
7,Marsh Harbour,BS,82.27,clear sky,26.5412,-77.0636,Abaco Beach Resort
10,Kavieng,PG,83.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
18,Winnemucca,US,75.25,few clouds,40.973,-117.7357,Winners Inn Casino
20,Kropotkin,RU,75.36,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
22,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
29,Alyangula,AU,79.36,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
38,San Patricio,US,85.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
56,Moa,CU,79.25,scattered clouds,20.6569,-74.9403,Carmen
60,Dongli,CN,87.78,thunderstorm,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
62,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Fairview,US,78.57,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
65,Dingle,PH,86.31,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Cabo San Lucas,MX,85.3,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,Faanui,PF,78.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Mina,MX,87.06,few clouds,26.0011,-100.5299,Mina ctl
82,Charters Towers,AU,75.72,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
86,Shimoda,JP,84.11,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
89,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
90,Xining,CN,80.8,broken clouds,36.6167,101.7667,Super Leisure Hotel
91,Rockport,US,86.05,few clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
92,Gigmoto,PH,84.96,scattered clouds,13.7796,124.39,Cj's Travellers Inn
95,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
101,Hambantota,LK,83.97,overcast clouds,6.1241,81.1185,Bungalow 63
107,Enid,US,81.01,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
110,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
113,Hue,VN,89.71,scattered clouds,16.4667,107.6,Saigon Morin Hotel
117,Samarinda,ID,84.18,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
125,Georgetown,MY,89.55,haze,5.4112,100.3354,Cititel Penang
135,Honiara,SB,83.55,broken clouds,-9.4333,159.95,Heritage Park Hotel
140,Balabac,PH,85.35,broken clouds,7.9868,117.0645,Batalla’s Lodging House
142,Xinzhi,CN,84.0,moderate rain,36.4989,111.7047,Mingyue Hotel
145,Mutis,CO,76.95,moderate rain,6.2262,-77.4044,Paraiso Escondido
149,Roebourne,AU,75.0,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
150,Tiruchchendur,IN,88.09,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
158,Naifaru,MV,82.17,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
161,Guanica,PR,81.05,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
163,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
169,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
170,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
173,Taiyuan,CN,76.86,scattered clouds,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
175,Soe,ID,81.54,few clouds,-9.8607,124.284,Dena Hotel
176,Lethem,GY,76.51,broken clouds,3.3803,-59.7968,Savannah Inn
187,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
189,Abeche,TD,75.81,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
196,Mana,GF,78.08,broken clouds,5.6592,-53.7767,LE SAMANA
210,Labuhan,ID,85.96,broken clouds,-6.8844,112.2051,DoubleFAG
212,Nichinan,JP,87.48,broken clouds,31.6,131.3667,Guest House Aki
213,Bahia Honda,CU,78.46,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
220,Longhua,CN,85.98,broken clouds,23.6137,114.1919,Huadu Hotel
222,Veraval,IN,80.64,light rain,20.9,70.3667,Lords Inn Somnath
223,Lazaro Cardenas,MX,79.9,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
226,Aksu,CN,82.53,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
227,Anshun,CN,75.97,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
229,Bandarbeyla,SO,81.3,overcast clouds,9.4942,50.8122,JABIR HOTEL
232,Artyom,AZ,82.54,clear sky,40.4723,50.333,Pir hos
234,Karratha,AU,77.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
240,Aloleng,PH,85.06,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
246,Tutoia,BR,76.8,broken clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
252,Shuangcheng,CN,80.28,clear sky,45.35,126.2833,Xingcheng Hotel
262,Victoria,HK,81.97,overcast clouds,22.2855,114.1577,Mini Central
264,Weligama,LK,83.68,overcast clouds,5.9667,80.4167,Weligama Bay Resort
265,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
267,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
