City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Sao Filipe,CV,2022-08-11 04:28:00,14.8961,-24.4956,77.23,88,68,8.86,broken clouds
1,Atuona,PF,2022-08-11 04:28:01,-9.8,-139.0333,76.95,77,2,20.13,clear sky
2,Padang,ID,2022-08-11 04:27:23,-0.9492,100.3543,86.05,64,85,4.83,overcast clouds
3,Tuatapere,NZ,2022-08-11 04:28:01,-46.1333,167.6833,46.04,62,21,4.25,few clouds
4,Isangel,VU,2022-08-11 04:23:38,-19.55,169.2667,77.11,57,75,11.5,broken clouds
5,Bredasdorp,ZA,2022-08-11 04:28:01,-34.5322,20.0403,52.11,93,100,4.76,overcast clouds
6,Atar,MR,2022-08-11 04:28:02,20.5169,-13.0499,89.47,16,100,10.42,overcast clouds
7,Marsh Harbour,BS,2022-08-11 04:28:02,26.5412,-77.0636,82.27,74,1,11.95,clear sky
8,Tabou,CI,2022-08-11 04:28:03,4.423,-7.3528,73.69,82,72,6.26,broken clouds
9,Punta Arenas,CL,2022-08-11 04:28:03,-53.15,-70.9167,32.11,93,0,5.75,clear sky
10,Kavieng,PG,2022-08-11 04:23:35,-2.5744,150.7967,83.16,72,72,7.92,broken clouds
11,Busselton,AU,2022-08-11 04:27:31,-33.65,115.3333,58.51,66,55,4.05,broken clouds
12,Pervomayskoye,RU,2022-08-11 04:28:04,43.919,46.7102,83.66,47,0,21.12,clear sky
13,Coihaique,CL,2022-08-11 04:24:08,-45.5752,-72.0662,41.61,87,0,4.61,clear sky
14,Thompson,CA,2022-08-11 04:28:04,55.7435,-97.8558,51.96,87,0,0.0,clear sky
15,Wawa,NG,2022-08-11 04:28:05,9.9022,4.4192,73.63,89,97,5.12,light rain
16,Airai,TL,2022-08-11 04:28:05,-8.9266,125.4092,72.32,57,56,3.2,broken clouds
17,Dikson,RU,2022-08-11 04:28:06,73.5069,80.5464,42.1,89,100,12.5,overcast clouds
18,Winnemucca,US,2022-08-11 04:28:06,40.973,-117.7357,75.25,64,20,12.66,few clouds
19,Sisimiut,GL,2022-08-11 04:28:07,66.9395,-53.6735,41.43,96,100,4.27,overcast clouds
20,Kropotkin,RU,2022-08-11 04:22:50,45.4375,40.5756,75.36,50,17,12.28,few clouds
21,Hobart,AU,2022-08-11 04:28:07,-42.8794,147.3294,57.06,68,0,8.05,moderate rain
22,Kapaa,US,2022-08-11 04:26:17,22.0752,-159.319,84.18,78,75,19.57,broken clouds
23,Tazovskiy,RU,2022-08-11 04:26:09,67.4667,78.7,49.44,82,100,8.81,overcast clouds
24,Nikolskoye,RU,2022-08-11 04:27:29,59.7035,30.7861,61.88,72,98,5.3,overcast clouds
25,Arraial Do Cabo,BR,2022-08-11 04:27:22,-22.9661,-42.0278,68.23,59,61,19.6,broken clouds
26,Lima,PE,2022-08-11 04:23:40,-12.0432,-77.0282,59.9,85,100,10.36,overcast clouds
27,Saint George,US,2022-08-11 04:21:24,37.1041,-113.5841,85.42,51,0,6.91,clear sky
28,Mar Del Plata,AR,2022-08-11 04:28:08,-38.0023,-57.5575,46.87,90,0,15.99,clear sky
29,Alyangula,AU,2022-08-11 04:28:09,-13.8483,136.4192,79.36,71,76,12.12,broken clouds
30,Albany,US,2022-08-11 04:25:22,42.6001,-73.9662,66.06,88,10,3.62,clear sky
31,Rikitea,PF,2022-08-11 04:25:20,-23.1203,-134.9692,73.13,75,100,23.33,overcast clouds
