City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ayr,GB,2022-08-07 02:50:52,55.4627,-4.6339,60.31,77,100,17.27
1,Ushuaia,AR,2022-08-07 02:48:54,-54.8,-68.3,33.46,80,0,1.14
2,Kirakira,SB,2022-08-07 02:50:52,-10.4544,161.9205,84.96,71,56,10.63
3,Punta Arenas,CL,2022-08-07 02:50:53,-53.15,-70.9167,35.71,93,100,5.75
4,Pangai,TO,2022-08-07 02:50:53,-19.8,-174.35,77.09,84,7,19.08
5,Caluquembe,AO,2022-08-07 02:50:53,-13.7833,14.6833,55.62,38,0,3.51
6,Oktyabrskoye,RU,2022-08-07 02:50:54,43.0645,44.7417,64.54,93,83,2.24
7,Puerto Ayora,EC,2022-08-07 02:50:54,-0.7393,-90.3518,67.55,98,84,5.01
8,Karaton,ID,2022-08-07 02:50:54,-6.3424,106.1045,84.69,61,2,1.48
9,Jamestown,US,2022-08-07 02:47:24,42.097,-79.2353,73.18,55,3,4.38
10,New Norfolk,AU,2022-08-07 02:50:55,-42.7826,147.0587,51.89,61,93,1.99
11,Tuatapere,NZ,2022-08-07 02:50:55,-46.1333,167.6833,41.13,73,100,5.77
12,Barrow,US,2022-08-07 02:50:56,71.2906,-156.7887,39.22,75,100,10.36
13,Tahta,EG,2022-08-07 02:50:56,26.7693,31.5021,81.54,36,21,9.57
14,Bairiki,KI,2022-08-07 02:50:56,1.3292,172.9752,86.0,70,40,10.36
15,Vaini,TO,2022-08-07 02:50:56,-21.2,-175.2,80.76,89,20,6.91
16,Kavaratti,IN,2022-08-07 02:50:57,10.5669,72.642,80.65,82,100,24.2
17,Suntar,RU,2022-08-07 02:50:57,62.1444,117.6319,58.82,63,100,6.49
18,Albany,US,2022-08-07 02:49:35,42.6001,-73.9662,79.36,91,20,3.98
19,Shanhetun,CN,2022-08-07 02:50:58,44.7,127.2,69.91,97,100,7.38
20,Chokwe,MZ,2022-08-07 02:50:58,-24.5333,32.9833,65.57,69,100,5.77
21,Los Llanos De Aridane,ES,2022-08-07 02:50:58,28.6585,-17.9182,67.75,78,100,14.97
22,Kirksville,US,2022-08-07 02:50:59,40.1948,-92.5833,83.05,86,0,5.75
23,Hollola,FI,2022-08-07 02:50:59,61.05,25.4333,50.49,88,6,8.39
24,Atkarsk,RU,2022-08-07 02:50:59,51.8718,45.0078,69.12,54,4,6.82
25,Mount Gambier,AU,2022-08-07 02:51:00,-37.8333,140.7667,51.75,56,100,4.43
26,Eyl,SO,2022-08-07 02:51:00,7.9803,49.8164,76.05,62,56,21.79
27,Asau,RO,2022-08-07 02:49:15,46.4333,26.4,68.95,93,25,5.53
28,Butaritari,KI,2022-08-07 02:51:01,3.0707,172.7902,82.36,75,84,14.97
29,Hilo,US,2022-08-07 02:47:18,19.7297,-155.09,86.29,77,0,12.66
